-Ship: A Visual Poem,,United States,2020
Rupture,,Jordan; Canada,2017
Mala mala,,United States,2014
2046,,Hong Kong,2004
Black Press: Soldiers Without Swords&CM^ The,,United States,1999
Walking a Tightrope,,France,1991
Eve’s Bayou,,United States,1997
Stolen Heart&CM^ The,,Germany,1934
Another Day at the Office,,France,2019
Count&CM^ The,,United States,1916
Boyant,,United States,2008
Immigrant&CM^ The,,United States,1917
Bamako,,France; Mali,2006
Jáaji Approx.,,United States,2015
Last Bread&CM^ The,,United States,2013
Blue Dahlia&CM^ The,,United States,1946
Caliph Stork&CM^ The,,Germany,1954
Gun Crazy,,United States,1950
This Is the Night,,United States,1932
Prefab Story,,Czechoslovakia,1979
Bim&CM^ Bam&CM^ Boom&CM^ las Luchas Morenas,,Mexico; United States,2014
Alois Nebel,,Czech Republic,2011
Stevie,,United Kingdom,1978
Four Journeys into Mystic Time: One-Two-Three,,United States,1978
Live from Shiva’s Dance Floor,,United States,2003
Buena Vista Social Club,,Germany; United States,1999
Women’s Prison,,United States,1955
Last Train from Gun Hill,,United States,1959
Tongues,,United States,1982
Miracle of Morgan's Creek,,United States,1944
Murders in the Zoo,,United States,1933
Sundowners&CM^ The,,United Kingdom; Australia,1960
All That Heaven Allows,,United States,1955
Sugar Hill,,United States,1974
Passion of Joan of Arc&CM^ The,,United States,2002
Windowbreaker,,United States,2006
Them,,France; Romania,2006
To Each His Own,,United States,1946
Operation Petticoat,,United States,1959
La Cage aux Folles,,France,1978
Escapes,,United States,2017
Hold Your Man,,United States,1933
Last Angry Man&CM^ The,,United States,1959
Blood Simple,,United States,1984
Kalewa,,United States,2018
Comedians&CM^ The,,United States; France,1967
Witch&CM^ The,,France,1906
Murphy’s Romance,,United States,1985
Week’s Vacation&CM^ A,,France,1980
Easy Living,,United States,1937
New World&CM^ The,,United States,2005
Double Agent 73,,United States,1974
So Far from India,,United States,1983
#Blackmendream,,United States,2014
Stalag 17,,United States,1953
Smiling Lieutenant&CM^ The,,United States,1931
Stump the Guesser,,Canada,2020
I Walk Alone,,United States,1947
a still place,,United States,2020
On Dangerous Ground,,United States,1951
Damned&CM^ The,,Italy,1969
Exile,,France,2016
Uncovering THE NAKED CITY,,United States,2020
Rosewood,,United States,1997
Moby Dick,,United Kingdom,1956
Headless Woman&CM^ The,,Argentina,2008
Emptying the Tank,,Canada,2018
Thriller,,United Kingdom,1979
Seven Songs About Thunder,,United States,2010
300 Nassau,,United States,2015
Mr. & Mrs. ’55,,India,1955
Night Moves,,United States,1975
Sons of the Desert,,United States,1933
Incredibly True Adventure of Two Girls in Love&CM^ The,,United States,1995
Beautiful Thing,,United Kingdom,1996
Christmas Eve,,United States,1947
Cleopatra,,United States; United Kingdom,1963
My Little Chickadee,,United States,1940
Mirror Has Two Faces&CM^ The,,United States,1996
Naughty Nineties&CM^ The,,United States,1945
LES VAMPIRES: Episode 5,,France,1915
Marnie,,United States,1964
Nothing Sacred,,United States,1937
Day of Freedom,,Germany,1935
Andrei Tarkovsky: A Cinema Prayer,,Italy; Russia,2019
Their Fall Our All,,United States,2014
Cowboy,,United States,1958
Barrier Device,,United States,2002
Werewolf,,Canada,2016
This Is Not a Film,,Iran,2011
Involuntary,,Sweden,2008
Older Women and Love,,United States,1987
Tempest,,United States,1982
Woman in Hiding,,United States,1950
New Leaf&CM^ A,,United States,1971
Devil in a Blue Dress,,United States,1995
Blackmail,,United Kingdom,1929
Sound That,,United States,2014
Mr. Topaze,,United Kingdom,1961
Laura,,United States,1944
Melting Snow,,United States,2021
Twentieth Century&CM^ The,,Canada,2019
Stations of the Elevated,,United States,1981
Man with the Golden Arm&CM^ The,,United States,1955
This Property Is Condemned,,United States,1966
Mabel’s Strange Predicament,,United States,1914
Margot at the Wedding,,United States,2007
Archangel,,Canada,1990
Lifeboat,,United States,1944
Hottest August&CM^ The,,United States,2019
Testament of Orpheus,,France,1959
Eternal Sea&CM^ The,,United States,1955
Get on the Bus,,United States,1996
Coffee and Cigarettes,,United States,2003
Blood Below the Skin,,Canada,2015
That Uncertain Feeling,,United States,1941
Last Tree&CM^ The,,United Kingdom,2019
My Favorite Wife,,United States,1940
Rabbit Hunters&CM^ The,,Canada,2020
Parabola,,United States,1937
French Connection&CM^ The,,United States,1971
Oath&CM^ The,,United States,2010
Sunlight,,United States,1957
Back Street,,United States,1932
An Oversimplification of Her Beauty,,United States,2012
Chico & Rita,,Spain,2010
Chef Flynn,,United States,2018
Alan Vega: Just a Million Dreams,,United States,2014
Fishing Boats,,Italy,1958
Still the Water,,Japan; France,2014
Hellraiser,,United Kingdom,1987
Rat Film,,United States,2016
Morocco,,United States,1930
Araya,,Venezuela,1959
Croupier,,Ireland,1998
Lore,,Australia; Germany,2012
Shopping for Fangs,,United States,1997
Ticket of No Return,,West Germany,1979
What Happened Was . . .,,United States,1994
Touch,,United Kingdom,2013
Rebecca of Sunnybrook Farm,,United States,1938
Robert Frost: A Lover’s Quarrel with the World,,United States,1963
Ernest & Celestine,,France,2012
Victoria,,Germany,2015
Alice,,Czechoslovakia,1988
IFO,,United States,2017
Chocolat,,France; West Germany; Cameroon,1988
Flores,,Portugal,2017
Color Adjustment,,United States,1992
House of Games,,United States,1987
Kingdom of the Fairies&CM^ The,,France,1903
Les cinq cent balles,,France,1961
Brother from Another Planet&CM^ The,,United States,1984
Alone,,United States,2017
Reckless Eyeballing,,United States,2004
Careful,,Canada,1992
Hucksters&CM^ The,,United States,1947
Zoo,,Canada,2020
Some Divine Wind,,United States,1992
Holiday,,United States,1938
Lucky Life,,United States,2010
Guitar Mongoloid&CM^ The,,Sweden,2004
Darling&CM^ How Could You!,,United States,1951
Hot Saturday,,United States,1932
Just Another Girl on the I.R.T.,,United States,1992
Coup de torchon,,France,1981
Chinatown,,United States,1974
Black Power Mixtape 1967–1975&CM^ The,,Sweden; United States,2011
Laughing Club of India&CM^ The,,India,2001
Annie,,United States,1982
Siren of the Tropics,,France,1927
Trained Chinese Tongue&CM^ The,,United States,1994
Sweet Ruin,,United States,2008
Lust for Life,,United States,1956
Obake,,United States,2012
Daddy Nostalgia,,France,1990
Kirikou and the Men and Women,,France,2012
Decision at Sundown,,United States,1957
Story of Lovers Rock&CM^ The,,United Kingdom,2011
Barefoot in the Park,,United States,1967
Belladonna of Sadness,,Japan,1973
Thing from the Factory by the Field,,United States,2022
Desired Number&CM^ The,,United Kingdom,1995
Patton,,United States,1970
Downtown 81,,United States,2000
Night of the Iguana&CM^ The,,United States,1964
Buzzard,,United States,2014
Prisoner of Zenda&CM^ The,,United States,1952
Habaneros,,United Kingdom,2017
Intermittent Delight,,United States,2007
Backseat&CM^ The,,United States,2016
Polytechnique,,Canada,2009
Brother to Brother,,United States,2004
Ripley’s Game,,United Kingdom,2002
Rear Window,,United States,1954
Accident,,United Kingdom,1967
Haunting&CM^ The,,United Kingdom,1963
Sticker,,Macedonia,2019
Women on the Verge of a Nervous Breakdown,,Spain,1988
Stuffed,,United States; Canada,2019
Our Daily Bread,,India,1970
Freedom Summer,,United States,2014
Shepherds of Calamity&CM^ The,,Greece,1967
Square&CM^ The,,Sweden; Germany,2017
Wolf Man&CM^ The,,United States,1941
Truman & Tennessee: An Intimate Conversation,,United States,2020
Putney Swope,,United States,1969
Paprika,,Japan,2006
Let’s Go Crazy,,United Kingdom,1951
24 Frames per Second,,United States,1977
Words&CM^ Planets,,Spain; United States,2018
1968 < 2018 > 2068,,United States,2018
Devil and Daniel Johnston&CM^ The,,United States,2005
Personal Best,,United States,1982
Danzón,,Mexico; Spain,1991
Crystal Lake,,United States,2016
Escape from New York,,United States,1981
Sahib bibi aur ghulam,,India,1962
Dadli,,Antigua and Barbuda,2018
Story of Children and Film&CM^ A,,United Kingdom,2013
Welcome Home&CM^ Soldier Boys,,United States,1971
Moving,,United States,2019
Sun Children,,Iran,2020
Slipper and the Rose&CM^ The,,United Kingdom,1976
Time of Their Lives&CM^ The,,United States,1946
Christmas Inventory,,Portugal,2000
Joan of Arc,,France,1900
Girl in the Window,,Italy; France,1961
Four Journeys into Mystic Time: Initiation,,United States,1978
Lands,,Brazil,2009
Bright Star,,United Kingdom; France,2009
Blow Out,,United States,1981
Aferim!,,Romania,2015
Down and Out in America,,United States,1986
Violets Are Blue . . .,,United States,1986
Usher,,United States,2000
You Only Live Once,,United States,1937
City of Women,,Italy,1980
Posse,,United States,1975
Kids,,United States,2012
Drexciya,,Ghana,2010
King of Texas&CM^ The,,United States,2008
Young Mr. Lincoln,,United States,1939
Poison Ivy,,United States,1992
Don't Blink – Robert Frank,,United States,2015
Night of the Hunter&CM^ The,,United States,1955
Downpour,,Iran,1972
Movement of Things&CM^ The,,Portugal,1985
Doctor X,,United States,1932
Age of Innocence&CM^ The,,United States,1993
Libeled Lady,,United States,1936
Whole Shootin’ Match&CM^ The,,United States,1978
Room with a View&CM^ A,,United Kingdom,1986
Living in Oblivion,,United States,1995
Devil’s Harmony&CM^ The,,United Kingdom,2019
Is Paris Burning?,,United States; France,1966
THE MIDDLEMAN: Episode 3,,France,2019
Lift You Up,,United States,2014
Let Me Die a Woman,,United States,1977
Feathers,,United States,2018
Bird with the Crystal Plumage&CM^ The,,Italy,1970
Frantz Fanon: Black Skin&CM^ White Mask,,United Kingdom,1995
Changing Same&CM^ The,,United States,2001
White God,,Hungary,2014
Wattstax,,United States,1973
Discreet Charm of the Bourgeoisie&CM^ The,,France,1972
Terminal USA,,United States,1993
Witches&CM^ The,,Italy; France,1967
Matador,,Spain,1986
Bells Are Ringing,,United States,1960
Skin&CM^ The,,Italy,1981
Shadow of a Doubt,,United States,1943
Girl Missing&CM^ A,,Japan,2019
Behind the Screen,,United States,1916
New Homeland,,United States,2018
Sparkle,,United States,1976
Full of Life,,United States,1956
Kentucky Pride,,United States,1925
Raven&CM^ The,,United States,1935
Big Knife&CM^ The,,United States,1955
No Way Out,,United States,1950
Remember the Night,,United States,1940
They Live By Night,,United States,1948
Creatura Dada,,Canada,2017
Kannathil muthamittal,,India,2002
Chase&CM^ The,,United States,1966
Fat City,,United States,1972
Key Largo,,United States,1948
No Ward,,United States,2009
Olivia,,France,1951
Visions of an Island,,United States,2016
Black Cat&CM^ The,,United States,1934
Hustler&CM^ The,,United States,1961
La piscine,,France,1969
End of Suffering,,Greece,A Pr
Mizaru,,India,2019
Dance in the Sun,,United States,1953
Pharos of Chaos,,Germany,1983
Tears Cannot Restore Her: Therefore&CM^ I Weep,,United States,2011
Ray & Liz,,United Kingdom,2018
Lola&CM^ 15,,United States,2017
Son of the White Mare,,Hungary,1981
Uptight,,United States,1968
Woodmans&CM^ The,,United States,2010
Sergeant Rutledge,,United States,1960
Trouble with Harry&CM^ The,,United States,1955
Delta&CM^ The,,United States,1996
Without You I’m Nothing,,United States,1990
Atlantic City,,France; Canada,1980
Go Fish,,United States,1994
Sunday Bloody Sunday,,United Kingdom,1971
Letter From Your Far-Off Country,,United States; India,2020
Seven Women&CM^ Seven Sins,,France; Austria,1986
Roman Holiday,,United States,1953
10 Rillington Place,,United Kingdom,1971
I’m British But . . .,,United Kingdom,1989
Onion Field&CM^ The,,United States,1979
Golf Specialist&CM^ The,,United States,1930
Song to Remember&CM^ A,,United States,1945
Zou Zou,,France,1934
Only Two Can Play,,United Kingdom,1962
Christmas in July,,United States,1940
Detective Story,,United States,1951
Father . . . A Son . . . Once Upon a Time in Hollywood&CM^ A,,United States,2005
It Happened One Night,,United States,1934
Miseducation of Cameron Post&CM^ The,,United States; United Kingdom,2018
Babymother,,United Kingdom,1998
Our Vines Have Tender Grapes,,United States,1945
Killing of a Chinese Bookie&CM^ The,,United States,1976
Night on Bald Mountain&CM^ A,,France,1933
Maids&CM^ The,,United Kingdom,1975
Discontent,,United States,1916
Duck&CM^ You Sucker,,Italy; Spain,1971
Willmar 8&CM^ The,,United States,1981
Phantom Love,,United States,2007
Charles and Lucie,,France,1979
Nights of Cabiria,,Italy,1957
Killing Floor&CM^ The,,United States,1984
Hooligan Sparrow,,China; United States,2016
Uptown Saturday Night,,United States,1974
On the Barricade,,France,1907
Mary and Max,,United States; Australia,2009
Four Elements&CM^ The,,United States,1966
Kansas City,,United States,1996
Cry in the Dark&CM^ A,,United States; Australia,1988
CHRIST STOPPED AT EBOLI: Episode 1,,Italy,1979
Thirty Seconds over Tokyo,,United States,1944
Pistol for Ringo&CM^ A,,Italy,1965
Abigail Harm,,United States,2012
City of Children&CM^ A,,United States,2012
Madhumati,,India,1958
Beyond the Valley of the Dolls,,United States,1970
Welcome II the Terrordome,,United Kingdom,1995
Earth Is Humming&CM^ The,,United States,2018
Heart of the World&CM^ The,,Canada,2000
Bonjour tristesse,,United Kingdom,1958
Man from Laramie&CM^ The,,United States,1955
Kiss and Make-Up,,United States,1934
Whimsical Illusions,,France,1910
Hours and Times&CM^ The,,United States,1991
Lizard,,United Kingdom,2020
Imitation of Life,,United States,1959
Big Sleep&CM^ The,,United States,1978
Appropriate Behavoir,,United Kingdom; United States,2015
Ghost World,,United States,2001
Gloria,,United States,1980
Extreme Private Eros: Love Song 1974,,Japan,1974
Town Called Panic&CM^ A,,France,2009
Paris Is Burning,,United States,1990
Miracle in Milan,,Italy,1951
What Price Glory,,United States,1952
Savage/Love,,United States,1981
Animal Crackers,,United States,1930
Mercenary&CM^ The,,Italy,1968
Boys in the Band&CM^ The,,United States,1970
Leopard&CM^ The,,Italy; France,1963
Angel Face,,United States,1953
Two Faces of a Bamiléké Woman&CM^ The,,Belgium; Cameroon,2018
Fragment of Seeking,,United States,1946
Grass Is Greener&CM^ The,,United Kingdom,1960
Rita&CM^ Sue and Bob Too,,United Kingdom,1987
Ordinary People,,United States,1980
Bad Seed&CM^ The,,United States,1956
Assignation&CM^ The,,United States,1953
Heaven Knows&CM^ Mr. Allison,,United States,1957
Niagara,,United States,1953
Man in the Gray Flannel Suit&CM^ The,,United States,1956
Yellow Fever,,United Kingdom; Kenya,2012
Denver & Rio Grande,,United States,1952
In Dog Years,,Canada,2019
Downhill Racer,,United States,1969
Hail the Conquering Hero,,United States,1944
Missing Picture&CM^ The,,Cambodia; France,2013
Bright Future,,Japan,2003
Out of State,,United States,2017
His Girl Friday,,United States,1940
Sea Countrymen,,Italy,1954
Film About a Woman Who . . .,,United States,1974
Notions of Freedom,,United States,2007
Dark Days,,United States,2000
Washing Society&CM^ The,,United States,2018
Wait Until Dark,,United States,1967
Grace Jones: Bloodlight and Bami,,United Kingdom,2017
Doctor Bull,,United States,1933
Conformist&CM^ The,,Italy,1970
SubUrbia,,United States,1997
Tricheurs,,France,1984
First Person Plural,,United States,2000
Golden Chain&CM^ The,,United States,2016
Hard Eight,,United States,1996
Shoot for the Contents,,United States,1991
Crocodile Conspiracy,,United States,1986
He Ran All the Way,,United States,1951
Old Enough,,United States,1984
Four Journeys into Mystic Time: Trans,,United States,1978
Integration Report 1,,United States,1960
Yeelen,,Mali,1987
Monsoon Wedding,,India,2001
Place of Our Own&CM^ A,,United States,2004
Star Prince&CM^ The,,United States,1918
American Hunger,,Ghana; United States,2013
TGM the Liberator,,Czechoslovakia,1990
Friends of Eddie Coyle&CM^ The,,United States,1973
Ninth Configuration&CM^ The,,United States,1980
Mend&CM^ The,,United States,2014
Jackie Robinson Story&CM^ The,,United States,1950
Fall&CM^ The,,United States,2019
Alphaville,,France,1965
Wild Bunch&CM^ The,,United States,1969
Duck Soup,,United States,1933
Old Dark House&CM^ The,,United States,1932
Saboteur,,United States,1942
Cowards Bend the Knee,,Canada,2003
Jazztime Tale,,United States,1991
Hold Back the Dawn,,United States,1941
Diabolic Tenant&CM^ The,,France,1909
Remembrance of József Romvári,,Canada,2020
Waterdance&CM^ The,,United States,1992
Between You and Milagros,,Colombia,2020
Running Jump&CM^ A,,United Kingdom,2012
First Day Out,,United States,2016
Family Tree,,Uganda,2020
Carancho,,Argentina,2010
Greaser’s Palace,,United States,1972
Crime Wave,,United States,1953
Deep Blues,,United States,1992
Pickup on South Street,,United States,1953
Sea Wolf&CM^ The,,United States,1941
Planet X,,United States,2006
Girl in the Armchair&CM^ The,,United States,1912
Mandabi,,Senegal,1968
Light Sleeper,,United States,1992
Cotton Comes to Harlem,,United States,1970
Badlands,,United States,1973
Butley,,United Kingdom,1974
LES VAMPIRES: Episode 1,,France,1915
Peter and the Farm,,United States,2016
Babylon,,United Kingdom; Italy,1980
Island in the Sun,,United States,1957
Do the Right Thing,,United States,1989
Los Sures,,United States,1984
Troublemaker,,Nigeria,2019
Bull Durham,,United States,1988
Lydia Lunch: The War Is Never Over,,United States,2019
Mr. Jealousy,,United States,1997
Virgin Suicides&CM^ The,,United States,1999
To Die For,,United States; United Kingdom,1995
Butterfly,,United States,1967
Boys Don’t Cry,,United States,1999
Papa the Little Boats,,France,1971
Days of Wine and Roses,,United States,1962
Emperor's Naked Army Marches On&CM^ The,,Japan,1987
Super Fly,,United States,1972
Moment in Love&CM^ A,,United States,1956
Delphine’s Prayers,,Belgium; Cameroon,2021
Family Portrait&CM^ A,,United Kingdom,2010
Chalk Garden&CM^ The,,United Kingdom; United States,1964
Platinum Blonde,,United States,1931
Ministry of Fear,,United States,1944
Mutual Native Duplex,,United States,1990
Just Don’t Think I’ll Scream,,France,2019
In Space,,Thailand; United States,2009
Still Life,,China,2006
Intimate Stranger,,United States,1991
Sunset Song,,United Kingdom,2015
Sangam,,India,1964
Vagabond&CM^ The,,United States,1916
20 Million Miles to Earth,,United States,1957
Snake Pit&CM^ The,,United States,1948
Ape,,United States,2012
Steamboat Round the Bend,,United States,1935
In the Soup,,United States,1992
Great Sadness of Zohara&CM^ The,,Israel; Morocco,1983
Praise House,,United States,1991
Bad Girls Go to Hell,,United States,1965
Witch Madness,,United States,1999
Pandora and the Flying Dutchman,,United States,1951
Giuseppe Makes a Movie,,United States,2014
Morning After&CM^ The,,United States,1986
Ace in the Hole,,United States,1951
Rip’s Dream,,France,1905
Koshien: Japan’s Field of Dreams,,Japan; United States,2019
Ciao! Manhattan,,United States,1972
Caught,,United States,1949
Bad and the Beautiful&CM^ The,,United States,1952
Tape,,United States,2001
Amour,,France; Austria,2012
Stones,,United States,2009
Saddest Music in the World&CM^ The,,Canada,2003
THE MIDDLEMAN: Episode 4,,France,2019
Red Dust,,United States,1932
Aar paar,,India,1954
Sweet Bean,,Japan; France,2015
J.D.’s Revenge,,United States,1976
Angst,,Austria,1983
Park Row,,United States,1952
Shooting Women,,United States,2008
Decameron&CM^ The,,Italy,1971
Learning Tree&CM^ The,,United States,1969
Spook Sport,,United States,1940
Fourteen,,United States,2019
Dressed to Kill,,United States,1980
Easy Street,,United States,1917
Hair Wolf,,United States,2018
Skinningrove,,United States,2013
Quiet Place in the Country&CM^ A,,Italy,1968
Mark&CM^ The,,United Kingdom,1961
Howl,,United States,2010
Mystery of Picasso&CM^ The,,France,1956
In Between Days,,Canada; South Korea,2006
Trouble with Angels&CM^ The,,United States,1966
On Monday of Last Week,,United States,2018
Butch Cassidy and the Sundance Kid,,United States,1969
Days of Being Wild,,Hong Kong,1990
Barbarella,,France; Italy,1968
Song Remains the Same&CM^ The,,United Kingdom; United States,1976
Remnants of the Watts Festival,,United States,1980
Hard Stop&CM^ The,,United Kingdom,2015
Cutter’s Way,,United States,1981
Dementia,,United States,1953
Lāhainā Noon,,United States,2014
Powerful Thang&CM^ A,,United States,1991
Design for Living,,United States,1933
DR. DOLITTLE: LION’S DEN: English Version,,Germany,1923
Eyes of Laura Mars,,United States,1978
Four Women,,United States,1975
Little Man&CM^ What Now?,,United States,1934
Jia Zhangke&CM^ A Guy from Fenyang,,Brazil; France,2014
To the Unknown,,United States,2017
Teknolust,,United States,2002
Load&CM^ The,,Croatia,2018
Frances,,United States,1982
Celebration,,France,2007
Second Coming,,United Kingdom,2014
Mark of Zorro&CM^ The,,United States,1940
Top of the Heap,,United States,1972
Woman of the Year,,United States,1942
Out of the Past,,United States,1947
Every Day’s a Holiday,,United States,1937
Horse Feathers,,United States,1932
Solomon Northup’s Odyssey,,United States,1984
Merrily We Go to Hell,,United States,1932
’night&CM^ Mother,,United States,1986
B.L.B.,,United States,2012
Marcello Mastroianni: I Remember,,Italy,1997
Clockmaker of St. Paul&CM^ The,,France,1974
THE PAINTING: French Version,,France,2011
Tea and Sympathy,,United States,1956
Dim Sum: A Little Bit of Heart,,United States,1985
LA FLOR: Part IV,,Argentina,2018
Persepolis,,France; United States,2007
Lolita,,United States,1962
Harvey,,United States,1950
Panic in Needle Park&CM^ The,,United States,1971
Investigation of a Citizen Above Suspicion,,Italy,1970
Millennium Actress,,Japan,2001
Lady Eve&CM^ The,,United States,1941
Little Murders,,United States,1971
Day at the Races&CM^ A,,United States,1937
Hot Rock&CM^ The,,United States,1972
Blood and Black Lace,,Italy; West Germany,1964
Dawson City: Frozen Time,,United States,2016
Trumbo,,United States,2007
Citizenfour,,United States,2014
Last Picture Show&CM^ The,,United States,1971
New Jerusalem,,United States,2011
By Way of Canarsie,,United States,2020
Nowhere in Africa,,Germany,2001
In Search of Guru Dutt,,United Kingdom,1989
Still Processing,,Canada,2020
